indicator_name,value_percent,population,survey_year,report_year,source_name,source_url
low_or_no_trust_national_government,44.0,OECD average,2023,2024,OECD Survey on Drivers of Trust in Public Institutions 2024 Results,https://www.oecd.org/en/publications/oecd-survey-on-drivers-of-trust-in-public-institutions-2024-results_9a20554b-en.html
trust_if_feel_have_say,69.0,People who feel they have a say in what government does,2023,2024,OECD Survey on Drivers of Trust in Public Institutions 2024 Results,https://www.oecd.org/content/dam/oecd/en/publications/reports/2024/07/oecd-survey-on-drivers-of-trust-in-public-institutions-2024-results_eeb36452/9a20554b-en.pdf
trust_if_feel_no_say,22.0,People who feel they do not have a say in what government does,2023,2024,OECD Survey on Drivers of Trust in Public Institutions 2024 Results,https://www.oecd.org/content/dam/oecd/en/publications/reports/2024/07/oecd-survey-on-drivers-of-trust-in-public-institutions-2024-results_eeb36452/9a20554b-en.pdf
trust_national_government,39.0,OECD average,2023,2024,OECD Survey on Drivers of Trust in Public Institutions 2024 Results,https://www.oecd.org/en/publications/oecd-survey-on-drivers-of-trust-in-public-institutions-2024-results_9a20554b-en.html
